nome,telefone,valor_contribuido,forma_pagamento
Diego Pereira,(71) 96470-1182,0,Não contribuiu
Gustavo Costa,(71) 95231-1183,30,PIX
Juliana Nascimento,(71) 97568-1184,0,Não contribuiu
Fábio Nascimento,(71) 96518-1185,0,Não contribuiu
Patrícia Gomes,(71) 95993-1186,15,Espécie
Yasmin Souza,(71) 97817-1187,10,Espécie
Simone Almeida,(71) 96492-1188,55,PIX
Lucas Carvalho,(71) 94451-1189,35,PIX
Larissa Pereira,(71) 91134-1190,0,Não contribuiu
Juliana Silva,(71) 97993-1191,0,Não contribuiu
Larissa Silva,(71) 98741-1192,10,Espécie
Samuel Gomes,(71) 93896-1193,60,PIX
Vanessa Gomes,(71) 97075-1194,0,Não contribuiu
Elaine Mendes,(71) 99908-1195,90,Espécie
Lucas Gomes,(71) 96765-1196,95,Espécie
Lucas Oliveira,(71) 97658-1197,0,Não contribuiu
Isabela Nascimento,(71) 92696-1198,20,PIX
Yasmin Mendes,(71) 99194-1199,20,Espécie
Fábio Almeida,(71) 99038-1200,30,PIX
Gabriel Dias,(71) 93391-1201,35,Espécie
Juliana Oliveira,(71) 97101-1202,35,PIX
Gustavo Costa,(71) 92038-1203,40,PIX
João Moreira,(71) 94996-1204,0,Não contribuiu
Larissa Dias,(71) 94695-1205,75,PIX
Samuel Carvalho,(71) 97228-1206,100,PIX
Marcelo Dias,(71) 94635-1207,55,Espécie
Marcelo Mendes,(71) 96163-1208,0,Não contribuiu
Simone Pereira,(71) 91340-1209,0,Não contribuiu
Diego Moreira,(71) 97018-1210,75,Espécie
Gabriel Rocha,(71) 93736-1211,45,Espécie
Vinícius Almeida,(71) 96739-1212,40,PIX
Juliana Teixeira,(71) 97679-1213,60,Espécie
Lucas Ribeiro,(71) 97731-1214,60,PIX
William Souza,(71) 96736-1215,55,Espécie
Samuel Rocha,(71) 94722-1216,10,PIX
Lucas Ferreira,(71) 97253-1217,30,Espécie
Vinícius Moreira,(71) 95450-1218,40,Espécie
Marcelo Almeida,(71) 95807-1219,0,Não contribuiu
Helena Martins,(71) 97091-1220,80,PIX
Diego Moreira,(71) 93215-1221,75,Espécie
Camila Ribeiro,(71) 95711-1222,55,PIX
Isabela Ramos,(71) 95710-1223,30,PIX
Mariana Ferreira,(71) 99323-1224,55,Espécie
Juliana Mendes,(71) 91360-1225,0,Não contribuiu
Camila Pereira,(71) 95348-1226,100,PIX
Diego Martins,(71) 92231-1227,0,Não contribuiu
Gabriel Martins,(71) 98516-1228,0,Não contribuiu
Bruno Costa,(71) 99556-1229,30,PIX
Paulo Ribeiro,(71) 91983-1230,45,PIX
Juliana Dias,(71) 91118-1231,55,Espécie
Mateus Rocha,(71) 99806-1232,70,Espécie
Aline Santos,(71) 95234-1233,80,PIX
Helena Melo,(71) 99140-1234,15,PIX
Yasmin Souza,(71) 99883-1235,35,PIX
Yasmin Ribeiro,(71) 97385-1236,0,Não contribuiu
Fernanda Dias,(71) 94359-1237,45,PIX
Vinícius Ferreira,(71) 97995-1238,45,Espécie
Patrícia Moreira,(71) 94575-1239,0,Não contribuiu
Paulo Ramos,(71) 95380-1240,60,Espécie
Juliana Santos,(71) 92470-1241,30,Espécie
Renata Dias,(71) 95097-1242,20,Espécie
Rafael Pereira,(71) 96202-1243,0,Não contribuiu
Aline Dias,(71) 94808-1244,95,Espécie
Sofia Souza,(71) 95885-1245,35,PIX
Elaine Teixeira,(71) 94540-1246,45,Espécie
Gabriel Nascimento,(71) 94122-1247,95,PIX
Daniel Gomes,(71) 91543-1248,60,PIX
Fernanda Gomes,(71) 95891-1249,20,Espécie
Simone Oliveira,(71) 97446-1250,80,PIX
Paulo Costa,(71) 97520-1251,70,PIX
Patrícia Teixeira,(71) 99047-1252,0,Não contribuiu
Thiago Ferreira,(71) 99634-1253,50,Espécie
Mariana Pereira,(71) 92686-1254,35,PIX
Gabriel Dias,(71) 93881-1255,0,Não contribuiu
Rafael Rocha,(71) 92485-1256,95,Espécie
Carlos Lima,(71) 92432-1257,90,PIX
Paulo Carvalho,(71) 96889-1258,25,PIX
Gabriel Almeida,(71) 92302-1259,70,PIX
Vinícius Melo,(71) 93340-1260,30,PIX
Ana Almeida,(71) 93964-1261,0,Não contribuiu
Mariana Martins,(71) 96416-1262,50,PIX
Samuel Martins,(71) 91191-1263,75,Espécie
Camila Lima,(71) 95191-1264,0,Não contribuiu
Sofia Mendes,(71) 99007-1265,0,Não contribuiu
William Nascimento,(71) 98766-1266,45,Espécie
Rafael Dias,(71) 96786-1267,75,PIX
Marcelo Moreira,(71) 96078-1268,45,Espécie
Beatriz Lima,(71) 95448-1269,95,Espécie
Marcelo Gomes,(71) 93493-1270,0,Não contribuiu
Natália Almeida,(71) 98353-1271,20,PIX
Rodrigo Dias,(71) 95885-1272,0,Não contribuiu
Daniel Souza,(71) 93744-1273,0,Não contribuiu
Carlos Silva,(71) 99486-1274,90,Espécie
Simone Pereira,(71) 96791-1275,0,Não contribuiu
Thiago Oliveira,(71) 92898-1276,65,Espécie
Gustavo Carvalho,(71) 99839-1277,40,Espécie
João Mendes,(71) 93450-1278,25,Espécie
Eduardo Martins,(71) 93164-1279,25,Espécie
Eduardo Vieira,(71) 95197-1280,35,PIX
Victor Ribeiro,(71) 96812-1281,0,Não contribuiu
Mariana Costa,(71) 98586-1282,50,PIX
Bruno Ramos,(71) 92459-1283,0,Não contribuiu
Mateus Melo,(71) 97818-1284,0,Não contribuiu
Samuel Ferreira,(71) 93801-1285,35,PIX
William Ferreira,(71) 98958-1286,10,Espécie
Carlos Dias,(71) 99650-1287,55,Espécie
Daniel Vieira,(71) 91337-1288,10,PIX
Daniel Souza,(71) 99262-1289,30,PIX
Vinícius Barbosa,(71) 98602-1290,90,Espécie
Simone Silva,(71) 97920-1291,85,Espécie
Helena Souza,(71) 96486-1292,15,PIX
Fernanda Barbosa,(71) 94627-1293,65,Espécie
Rodrigo Ferreira,(71) 91059-1294,45,PIX
Samuel Carvalho,(71) 97047-1295,50,Espécie
Helena Mendes,(71) 99677-1296,0,Não contribuiu
Yasmin Mendes,(71) 95551-1297,40,PIX
João Carvalho,(71) 92880-1298,35,Espécie
Rafael Moreira,(71) 97176-1299,10,Espécie
Renata Pereira,(71) 93128-1300,0,Não contribuiu
Sofia Rocha,(71) 91263-1301,75,Espécie
Bruno Lima,(71) 97567-1302,65,Espécie
Daniel Souza,(71) 97966-1303,0,Não contribuiu
Beatriz Almeida,(71) 95246-1304,0,Não contribuiu
Natália Ribeiro,(71) 93491-1305,15,PIX
Patrícia Teixeira,(71) 96117-1306,0,Não contribuiu
Fernanda Costa,(71) 97176-1307,75,Espécie
Elaine Martins,(71) 99953-1308,0,Não contribuiu
Fábio Moreira,(71) 95204-1309,40,Espécie
João Rocha,(71) 96321-1310,35,PIX
Mariana Pereira,(71) 92953-1311,0,Não contribuiu
Eduardo Martins,(71) 92043-1312,40,PIX
Rafael Lima,(71) 99943-1313,10,PIX
Eduardo Teixeira,(71) 96047-1314,0,Não contribuiu
Natália Vieira,(71) 96217-1315,15,Espécie
Larissa Souza,(71) 95297-1316,75,PIX
Carlos Dias,(71) 91635-1317,100,PIX
Rodrigo Gomes,(71) 93101-1318,20,Espécie
Camila Teixeira,(71) 91626-1319,75,Espécie
Marcelo Mendes,(71) 96577-1320,35,PIX
Yasmin Martins,(71) 96739-1321,70,Espécie
Vanessa Barbosa,(71) 96804-1322,60,Espécie
Elaine Carvalho,(71) 99107-1323,0,Não contribuiu
Helena Nascimento,(71) 95678-1324,55,PIX
Gustavo Teixeira,(71) 92985-1325,80,PIX
Juliana Pereira,(71) 97130-1326,90,Espécie
Rodrigo Rocha,(71) 95121-1327,95,Espécie
Helena Silva,(71) 92388-1328,80,PIX
Rafael Souza,(71) 98944-1329,0,Não contribuiu
Mateus Rocha,(71) 96264-1330,85,Espécie
Vinícius Vieira,(71) 96515-1331,35,Espécie
Fábio Costa,(71) 97755-1332,0,Não contribuiu
Sofia Carvalho,(71) 92423-1333,0,Não contribuiu
Fábio Martins,(71) 94498-1334,75,PIX
João Ferreira,(71) 99638-1335,80,PIX
William Ramos,(71) 91775-1336,60,PIX
Vanessa Melo,(71) 96022-1337,45,Espécie
Simone Pereira,(71) 92490-1338,95,PIX
Camila Santos,(71) 92863-1339,0,Não contribuiu
Ana Teixeira,(71) 93017-1340,85,Espécie
Diego Teixeira,(71) 94784-1341,0,Não contribuiu
Natália Oliveira,(71) 95574-1342,0,Não contribuiu
Bruno Pereira,(71) 91950-1343,65,PIX
Diego Martins,(71) 91478-1344,70,Espécie
João Santos,(71) 99935-1345,80,PIX
Sofia Barbosa,(71) 95547-1346,70,PIX
Beatriz Oliveira,(71) 92363-1347,40,PIX
Eduardo Melo,(71) 91043-1348,25,Espécie
William Mendes,(71) 98379-1349,95,PIX
Ana Rocha,(71) 96682-1350,50,Espécie
Gabriel Martins,(71) 97056-1351,0,Não contribuiu
Gustavo Moreira,(71) 94766-1352,45,PIX
Rafael Silva,(71) 95193-1353,20,Espécie
Camila Souza,(71) 95857-1354,60,PIX
Larissa Martins,(71) 93045-1355,85,Espécie
Sofia Barbosa,(71) 99339-1356,50,PIX
Renata Santos,(71) 92884-1357,20,PIX
William Rocha,(71) 95064-1358,75,PIX
Mariana Ribeiro,(71) 94037-1359,60,Espécie
Daniel Gomes,(71) 93993-1360,70,PIX
Beatriz Martins,(71) 99407-1361,65,PIX
Rodrigo Moreira,(71) 94487-1362,40,PIX
Lucas Melo,(71) 98303-1363,75,PIX
Victor Barbosa,(71) 95775-1364,100,PIX
Eduardo Oliveira,(71) 94874-1365,100,PIX
Camila Oliveira,(71) 98482-1366,70,PIX
Patrícia Lima,(71) 96613-1367,55,PIX
Isabela Teixeira,(71) 91323-1368,50,Espécie
Daniel Mendes,(71) 94058-1369,60,PIX
Rodrigo Vieira,(71) 96987-1370,65,Espécie
Mariana Lima,(71) 99993-1371,0,Não contribuiu
Gustavo Costa,(71) 98633-1372,0,Não contribuiu
Patrícia Melo,(71) 93130-1373,0,Não contribuiu
João Vieira,(71) 93107-1374,30,PIX
Beatriz Barbosa,(71) 98159-1375,0,Não contribuiu
Diego Dias,(71) 95932-1376,60,PIX
Rafael Rocha,(71) 96072-1377,90,Espécie
Gustavo Oliveira,(71) 95363-1378,50,PIX
Elaine Souza,(71) 94755-1379,70,Espécie
Carlos Melo,(71) 96390-1380,100,PIX
Eduardo Nascimento,(71) 93258-1381,40,Espécie
Elaine Gomes,(71) 97817-1382,40,Espécie
Elaine Nascimento,(71) 91765-1383,0,Não contribuiu
Aline Mendes,(71) 93833-1384,85,Espécie
Gustavo Vieira,(71) 99872-1385,0,Não contribuiu
Thiago Souza,(71) 92545-1386,65,PIX
Juliana Ferreira,(71) 98590-1387,0,Não contribuiu
João Moreira,(71) 94836-1388,55,Espécie
Lucas Silva,(71) 91831-1389,60,Espécie
Paulo Mendes,(71) 98561-1390,60,PIX
Vinícius Mendes,(71) 97749-1391,65,Espécie
Natália Mendes,(71) 93603-1392,65,Espécie
Elaine Lima,(71) 92155-1393,75,PIX
Rodrigo Carvalho,(71) 92192-1394,95,PIX
Gabriel Mendes,(71) 93767-1395,100,Espécie
Gabriel Oliveira,(71) 91715-1396,30,Espécie
Victor Santos,(71) 96728-1397,55,Espécie
Eduardo Moreira,(71) 92745-1398,10,Espécie
Diego Dias,(71) 92670-1399,90,PIX
Isabela Costa,(71) 93682-1400,55,Espécie
João Mendes,(71) 95357-1401,0,Não contribuiu
Juliana Vieira,(71) 94552-1402,0,Não contribuiu
Fernanda Melo,(71) 95931-1403,70,Espécie
Vanessa Lima,(71) 96668-1404,0,Não contribuiu
João Vieira,(71) 96464-1405,75,PIX
Beatriz Ribeiro,(71) 97604-1406,95,Espécie
Helena Martins,(71) 91924-1407,0,Não contribuiu
Victor Lima,(71) 98556-1408,95,Espécie
Daniel Dias,(71) 92361-1409,100,PIX
Thiago Pereira,(71) 98226-1410,0,Não contribuiu
Thiago Teixeira,(71) 97332-1411,55,Espécie
Helena Pereira,(71) 98440-1412,85,Espécie
Fernanda Vieira,(71) 95613-1413,85,PIX
Fernanda Ferreira,(71) 93293-1414,0,Não contribuiu
Helena Souza,(71) 96620-1415,35,Espécie
Marcelo Souza,(71) 98239-1416,100,PIX
Paulo Silva,(71) 94207-1417,10,Espécie
Diego Gomes,(71) 93235-1418,0,Não contribuiu
Paulo Dias,(71) 99467-1419,85,PIX
Bruno Moreira,(71) 97030-1420,0,Não contribuiu
William Martins,(71) 91264-1421,100,PIX
Eduardo Ferreira,(71) 94929-1422,85,PIX
Simone Vieira,(71) 97879-1423,100,PIX
Vinícius Gomes,(71) 99167-1424,50,PIX
Ana Costa,(71) 94899-1425,80,Espécie
Diego Souza,(71) 92488-1426,65,Espécie
Patrícia Ribeiro,(71) 95204-1427,55,PIX
Yasmin Nascimento,(71) 92163-1428,55,PIX
Yasmin Ribeiro,(71) 99931-1429,50,Espécie
Samuel Mendes,(71) 94191-1430,0,Não contribuiu
Beatriz Oliveira,(71) 97791-1431,70,Espécie
Fernanda Lima,(71) 99352-1432,0,Não contribuiu
Patrícia Martins,(71) 95128-1433,10,Espécie
Lucas Martins,(71) 99743-1434,70,Espécie
Juliana Costa,(71) 99008-1435,0,Não contribuiu
Daniel Santos,(71) 96775-1436,100,Espécie
Rafael Ferreira,(71) 91198-1437,45,Espécie
Rodrigo Almeida,(71) 93967-1438,40,Espécie
Vanessa Ramos,(71) 99539-1439,35,PIX
Isabela Souza,(71) 98858-1440,0,Não contribuiu
Yasmin Gomes,(71) 96656-1441,25,PIX
Samuel Dias,(71) 93825-1442,35,Espécie
Fernanda Barbosa,(71) 99824-1443,100,PIX
Vanessa Almeida,(71) 98562-1444,0,Não contribuiu
Diego Martins,(71) 92052-1445,60,PIX
Juliana Santos,(71) 96444-1446,45,Espécie
Camila Rocha,(71) 96914-1447,50,Espécie
Juliana Moreira,(71) 97497-1448,20,PIX
Rafael Oliveira,(71) 99374-1449,0,Não contribuiu
Patrícia Lima,(71) 94628-1450,30,Espécie
João Lima,(71) 93313-1451,40,PIX
Victor Barbosa,(71) 99282-1452,0,Não contribuiu
Gabriel Teixeira,(71) 97129-1453,95,Espécie
Thiago Almeida,(71) 95036-1454,0,Não contribuiu
Elaine Nascimento,(71) 97431-1455,85,Espécie
Samuel Ramos,(71) 97332-1456,60,PIX
Rodrigo Teixeira,(71) 95280-1457,0,Não contribuiu
Victor Pereira,(71) 98479-1458,0,Não contribuiu
Fábio Oliveira,(71) 92339-1459,90,Espécie
Diego Dias,(71) 96190-1460,0,Não contribuiu
Marcelo Vieira,(71) 95874-1461,0,Não contribuiu
Bruno Ribeiro,(71) 94057-1462,0,Não contribuiu
Juliana Silva,(71) 92392-1463,50,PIX
Aline Almeida,(71) 95250-1464,90,Espécie
Rodrigo Nascimento,(71) 96436-1465,15,Espécie
Marcelo Ramos,(71) 96564-1466,90,Espécie
Beatriz Gomes,(71) 91335-1467,20,PIX
Natália Martins,(71) 92486-1468,0,Não contribuiu
Camila Pereira,(71) 99292-1469,25,Espécie
Gustavo Costa,(71) 92821-1470,20,PIX
Isabela Santos,(71) 91212-1471,75,PIX
Daniel Mendes,(71) 97540-1472,50,PIX
Rafael Melo,(71) 92826-1473,30,PIX
Victor Ribeiro,(71) 98103-1474,0,Não contribuiu
Paulo Almeida,(71) 95065-1475,60,Espécie
Eduardo Vieira,(71) 93020-1476,65,PIX
Mariana Santos,(71) 93631-1477,55,Espécie
Simone Teixeira,(71) 96271-1478,0,Não contribuiu
João Ferreira,(71) 94418-1479,75,PIX
Victor Mendes,(71) 99663-1480,0,Não contribuiu
Aline Ferreira,(71) 94436-1481,100,Espécie
Larissa Costa,(71) 96346-1482,65,PIX
Eduardo Almeida,(71) 93297-1483,40,PIX
Bruno Carvalho,(71) 94183-1484,70,Espécie
Eduardo Almeida,(71) 96622-1485,0,Não contribuiu
João Carvalho,(71) 94703-1486,0,Não contribuiu
Fábio Carvalho,(71) 95865-1487,95,PIX
Vinícius Souza,(71) 91837-1488,65,PIX
João Gomes,(71) 91157-1489,95,PIX
Eduardo Ribeiro,(71) 96625-1490,40,PIX
Juliana Lima,(71) 97012-1491,75,Espécie
Aline Almeida,(71) 92693-1492,80,Espécie
Simone Nascimento,(71) 99572-1493,20,PIX
Thiago Santos,(71) 91419-1494,0,Não contribuiu
Elaine Lima,(71) 94621-1495,75,PIX
Helena Rocha,(71) 91426-1496,0,Não contribuiu
Victor Pereira,(71) 94328-1497,30,Espécie
Ana Souza,(71) 96665-1498,20,PIX
Gabriel Vieira,(71) 99416-1499,0,Não contribuiu
Marcelo Melo,(71) 98525-1500,80,Espécie
Thiago Rocha,(71) 91035-1501,25,Espécie
Victor Lima,(71) 98987-1502,60,PIX
Thiago Dias,(71) 94065-1503,85,Espécie
Aline Rocha,(71) 94422-1504,45,Espécie
Aline Ferreira,(71) 94695-1505,60,PIX
Aline Ferreira,(71) 94195-1506,0,Não contribuiu
Victor Barbosa,(71) 95985-1507,45,Espécie
Samuel Dias,(71) 98276-1508,15,Espécie
Patrícia Martins,(71) 91571-1509,0,Não contribuiu
Vanessa Oliveira,(71) 91041-1510,0,Não contribuiu
Mariana Costa,(71) 97811-1511,90,Espécie
Diego Costa,(71) 99473-1512,0,Não contribuiu
Patrícia Santos,(71) 95918-1513,0,Não contribuiu
Aline Ribeiro,(71) 98268-1514,0,Não contribuiu
Lucas Costa,(71) 99564-1515,90,Espécie
Lucas Ribeiro,(71) 94572-1516,10,Espécie
Helena Carvalho,(71) 97882-1517,35,PIX
Bruno Oliveira,(71) 96571-1518,20,PIX
Marcelo Ribeiro,(71) 94442-1519,60,PIX
Rafael Souza,(71) 91959-1520,70,PIX
Victor Almeida,(71) 95494-1521,30,Espécie
Simone Mendes,(71) 99972-1522,30,PIX
Marcelo Barbosa,(71) 93515-1523,65,PIX
Bruno Martins,(71) 99436-1524,95,Espécie
João Rocha,(71) 92907-1525,0,Não contribuiu
Vanessa Barbosa,(71) 91308-1526,10,PIX
Renata Almeida,(71) 95451-1527,50,Espécie
Elaine Moreira,(71) 94121-1528,60,PIX
Eduardo Rocha,(71) 97726-1529,85,Espécie
Fábio Nascimento,(71) 98899-1530,60,Espécie
Yasmin Pereira,(71) 97044-1531,0,Não contribuiu
Juliana Martins,(71) 95121-1532,0,Não contribuiu
Rodrigo Teixeira,(71) 92700-1533,0,Não contribuiu
Juliana Ferreira,(71) 92442-1534,30,PIX
Juliana Mendes,(71) 92430-1535,10,PIX
Isabela Almeida,(71) 91969-1536,0,Não contribuiu
Simone Ramos,(71) 95182-1537,0,Não contribuiu
Larissa Nascimento,(71) 98379-1538,10,PIX
William Melo,(71) 93305-1539,40,Espécie
Yasmin Oliveira,(71) 97412-1540,70,Espécie
Ana Teixeira,(71) 94991-1541,20,Espécie
Mateus Silva,(71) 93711-1542,10,Espécie
Vinícius Ferreira,(71) 93317-1543,80,Espécie
Isabela Nascimento,(71) 91720-1544,55,PIX
Lucas Teixeira,(71) 91440-1545,45,PIX
Aline Ferreira,(71) 92191-1546,0,Não contribuiu
Renata Ramos,(71) 93547-1547,40,Espécie
Elaine Silva,(71) 91158-1548,30,PIX
Victor Barbosa,(71) 99900-1549,30,PIX
Marcelo Lima,(71) 99193-1550,70,Espécie
Camila Costa,(71) 97541-1551,85,Espécie
João Rocha,(71) 91770-1552,40,Espécie
Gabriel Nascimento,(71) 96310-1553,80,PIX
Thiago Martins,(71) 95224-1554,100,PIX
Renata Mendes,(71) 92694-1555,30,PIX
Bruno Martins,(71) 99855-1556,15,Espécie
Lucas Gomes,(71) 96048-1557,50,Espécie
Sofia Nascimento,(71) 91968-1558,10,PIX
Simone Barbosa,(71) 93574-1559,10,Espécie
Lucas Moreira,(71) 98322-1560,70,Espécie
Ana Carvalho,(71) 95598-1561,0,Não contribuiu
Mariana Ferreira,(71) 94388-1562,10,PIX
Rafael Lima,(71) 97295-1563,45,PIX
Fernanda Souza,(71) 97945-1564,100,PIX
Gabriel Rocha,(71) 95986-1565,0,Não contribuiu
Simone Mendes,(71) 92963-1566,0,Não contribuiu
João Costa,(71) 94951-1567,25,Espécie
Mateus Carvalho,(71) 98622-1568,100,PIX
Gabriel Dias,(71) 92834-1569,60,Espécie
Sofia Carvalho,(71) 96977-1570,95,PIX
Sofia Costa,(71) 93186-1571,0,Não contribuiu
William Oliveira,(71) 95761-1572,25,Espécie
João Silva,(71) 99154-1573,40,Espécie
Daniel Teixeira,(71) 96147-1574,65,Espécie
Patrícia Mendes,(71) 91787-1575,80,PIX
Isabela Melo,(71) 91298-1576,20,Espécie
Carlos Pereira,(71) 94437-1577,55,PIX
Sofia Ramos,(71) 99230-1578,0,Não contribuiu
Sofia Souza,(71) 96701-1579,60,Espécie
Fábio Barbosa,(71) 98362-1580,0,Não contribuiu
João Santos,(71) 92602-1581,25,PIX
Sofia Santos,(71) 92883-1582,30,Espécie
João Moreira,(71) 93939-1583,0,Não contribuiu
Gustavo Ramos,(71) 97711-1584,70,PIX
William Ferreira,(71) 99571-1585,0,Não contribuiu
Diego Lima,(71) 92043-1586,50,Espécie
Aline Lima,(71) 93796-1587,65,Espécie
João Ribeiro,(71) 91917-1588,0,Não contribuiu
Patrícia Melo,(71) 91337-1589,0,Não contribuiu
Gabriel Lima,(71) 92930-1590,0,Não contribuiu
Larissa Melo,(71) 97862-1591,60,Espécie
Lucas Nascimento,(71) 96374-1592,25,PIX
Marcelo Ramos,(71) 94851-1593,35,PIX
Aline Moreira,(71) 97601-1594,100,Espécie
Thiago Melo,(71) 99108-1595,90,Espécie
Beatriz Ferreira,(71) 98257-1596,0,Não contribuiu
Paulo Carvalho,(71) 91159-1597,20,PIX
Ana Oliveira,(71) 92734-1598,35,Espécie
Samuel Gomes,(71) 94749-1599,70,Espécie
Marcelo Souza,(71) 94067-1600,55,Espécie
Carlos Silva,(71) 96064-1601,60,PIX
Natália Costa,(71) 99203-1602,10,PIX
Isabela Lima,(71) 97465-1603,45,Espécie
Gabriel Costa,(71) 93774-1604,55,PIX
Samuel Dias,(71) 96186-1605,0,Não contribuiu
Beatriz Santos,(71) 92666-1606,45,PIX
Carlos Oliveira,(71) 97281-1607,85,Espécie
Mariana Ramos,(71) 94491-1608,80,Espécie
João Nascimento,(71) 91715-1609,0,Não contribuiu
Samuel Ramos,(71) 91942-1610,0,Não contribuiu
Marcelo Carvalho,(71) 92529-1611,0,Não contribuiu
Mariana Ferreira,(71) 98031-1612,80,Espécie
Sofia Souza,(71) 96013-1613,50,PIX
Fernanda Dias,(71) 97767-1614,0,Não contribuiu
Simone Melo,(71) 91658-1615,45,PIX
Rafael Ferreira,(71) 97265-1616,0,Não contribuiu
Camila Dias,(71) 97035-1617,55,PIX
Daniel Nascimento,(71) 91659-1618,90,Espécie
Fábio Costa,(71) 96088-1619,55,PIX
Sofia Souza,(71) 93713-1620,0,Não contribuiu
Ana Teixeira,(71) 99962-1621,0,Não contribuiu
Vanessa Melo,(71) 98492-1622,45,PIX
Marcelo Carvalho,(71) 93137-1623,0,Não contribuiu
Fernanda Teixeira,(71) 99266-1624,75,Espécie
Thiago Ribeiro,(71) 92140-1625,70,PIX
Camila Rocha,(71) 97354-1626,40,Espécie
Samuel Ribeiro,(71) 95655-1627,10,Espécie
João Ferreira,(71) 99682-1628,35,Espécie
Diego Oliveira,(71) 96117-1629,0,Não contribuiu
Larissa Ribeiro,(71) 92551-1630,20,Espécie
Sofia Lima,(71) 93875-1631,95,Espécie
Rafael Santos,(71) 91565-1632,0,Não contribuiu
Simone Lima,(71) 97349-1633,0,Não contribuiu
Natália Carvalho,(71) 94345-1634,15,Espécie
Simone Mendes,(71) 97821-1635,0,Não contribuiu
Fábio Almeida,(71) 99546-1636,40,PIX
Fábio Mendes,(71) 99728-1637,50,PIX
Gustavo Carvalho,(71) 96399-1638,15,PIX
Ana Dias,(71) 94010-1639,60,PIX
Patrícia Ramos,(71) 91139-1640,50,Espécie
Paulo Carvalho,(71) 95825-1641,50,Espécie
Ana Silva,(71) 96844-1642,100,PIX
Vanessa Ramos,(71) 98340-1643,65,PIX
Natália Ramos,(71) 98399-1644,85,Espécie
Vinícius Moreira,(71) 97125-1645,0,Não contribuiu
Victor Ferreira,(71) 92013-1646,65,PIX
Larissa Almeida,(71) 93375-1647,70,PIX
Beatriz Martins,(71) 98255-1648,100,PIX
Renata Melo,(71) 96570-1649,25,PIX
Larissa Costa,(71) 94525-1650,35,Espécie
Vinícius Costa,(71) 94505-1651,20,PIX
Mariana Rocha,(71) 99880-1652,90,Espécie
Juliana Barbosa,(71) 95460-1653,60,PIX
Elaine Melo,(71) 98020-1654,60,Espécie
William Silva,(71) 98335-1655,10,Espécie
Marcelo Mendes,(71) 98983-1656,20,Espécie
Beatriz Lima,(71) 99654-1657,35,Espécie
Bruno Pereira,(71) 99378-1658,0,Não contribuiu
Marcelo Vieira,(71) 99044-1659,0,Não contribuiu
Natália Costa,(71) 93823-1660,75,Espécie
Fábio Mendes,(71) 94020-1661,0,Não contribuiu
Sofia Ferreira,(71) 99807-1662,0,Não contribuiu
Rafael Teixeira,(71) 91258-1663,65,Espécie
Marcelo Dias,(71) 96278-1664,20,Espécie
Vinícius Ramos,(71) 91286-1665,100,PIX
Mateus Pereira,(71) 96685-1666,65,PIX
Camila Teixeira,(71) 93556-1667,100,Espécie
Simone Ferreira,(71) 99281-1668,55,Espécie
Sofia Barbosa,(71) 91858-1669,0,Não contribuiu
Fábio Mendes,(71) 91679-1670,100,Espécie
Renata Teixeira,(71) 94629-1671,0,Não contribuiu
Vanessa Oliveira,(71) 99349-1672,30,Espécie
Bruno Carvalho,(71) 92078-1673,40,PIX
Rodrigo Teixeira,(71) 97757-1674,60,PIX
Fábio Santos,(71) 93537-1675,0,Não contribuiu
Samuel Mendes,(71) 96715-1676,30,PIX
William Ramos,(71) 99827-1677,20,PIX
Vanessa Mendes,(71) 92756-1678,95,PIX
Daniel Lima,(71) 99328-1679,0,Não contribuiu
Ana Ribeiro,(71) 91799-1680,50,Espécie
Larissa Dias,(71) 98622-1681,15,PIX
João Ramos,(71) 92398-1682,100,Espécie
Bruno Souza,(71) 94113-1683,85,Espécie
Lucas Almeida,(71) 99932-1684,100,Espécie
Natália Dias,(71) 94410-1685,90,PIX
William Oliveira,(71) 96562-1686,50,Espécie
Fernanda Rocha,(71) 92609-1687,70,Espécie
Natália Almeida,(71) 97934-1688,0,Não contribuiu
João Carvalho,(71) 95677-1689,0,Não contribuiu
Carlos Souza,(71) 96079-1690,15,PIX
Aline Almeida,(71) 94038-1691,75,PIX
Victor Rocha,(71) 98707-1692,55,Espécie
Rodrigo Dias,(71) 98096-1693,60,Espécie
Rodrigo Gomes,(71) 92447-1694,45,Espécie
Simone Teixeira,(71) 92432-1695,80,PIX
Patrícia Almeida,(71) 92396-1696,25,Espécie
Rafael Rocha,(71) 99064-1697,35,Espécie
Samuel Pereira,(71) 92425-1698,45,PIX
Diego Melo,(71) 91797-1699,15,Espécie
Renata Rocha,(71) 98303-1700,0,Não contribuiu
Mariana Vieira,(71) 91346-1701,35,PIX
Samuel Santos,(71) 91909-1702,85,Espécie
Daniel Silva,(71) 96393-1703,60,PIX
Ana Mendes,(71) 99754-1704,60,PIX
Simone Oliveira,(71) 94602-1705,25,Espécie
Samuel Pereira,(71) 93471-1706,40,Espécie
Sofia Nascimento,(71) 96159-1707,70,Espécie
Diego Rocha,(71) 94908-1708,10,Espécie
Patrícia Barbosa,(71) 99093-1709,60,Espécie
Fábio Gomes,(71) 98043-1710,25,Espécie
Larissa Moreira,(71) 91476-1711,25,PIX
Samuel Nascimento,(71) 95408-1712,80,Espécie
Rodrigo Nascimento,(71) 91160-1713,55,Espécie
